,municipality,town_number,preliminary_live_birth_counts,preliminary_birth_rate,estimated_population,estimated_median_home_value,labor_force,unemployed,unemployment_rate,median_household_income,tfa_participants,snap_recipients,poverty_status,associate's_degree,bachelor's_degree_or_higher,high_school_diploma_ged_or_equivalent,less_than_high_school_diploma,some_college,percent_without_health_insurance,tfa_participants_rate,snap_recipients_rate,poverty_rate,est_population_above_25,higher_edu_perc,label,socioeconomic_status
150,Waterbury,151,1531,14.2,108093,128800,50973,3350,0.0657210680164008,41617,2711.5,12890,24580,4983,11090,26374,14065,13759,9.0,0.025084880612065538,0.11924916507081865,0.2273967786998233,70271,0.15781759189423802,1,Low
151,Waterford,152,147,7.8,18887,253600,10167,364,0.0358021048490213,85438,29.0,564,1136,1322,5615,3992,685,2455,2.4,0.0015354476624133,0.029861809710382804,0.060147191189707204,14069,0.3991044139597697,0,Middle
152,Watertown,153,174,8.0,21641,244600,13063,482,0.0368981091632856,76920,50.5,652,1150,1897,5341,4501,1343,2670,3.5,0.002333533570537406,0.030127997781987895,0.05313987338847558,15752,0.33906805485017777,0,Middle
153,West Hartford,155,599,9.5,62939,329000,34790,1070,0.030755964357574,99280,208.5,1859,4600,2509,27810,5830,2405,5206,2.4,0.0033127313748232416,0.02953653537552233,0.07308663944454154,43760,0.6355118829981719,0,Middle
154,West Haven,156,556,10.1,54879,194400,30195,1433,0.047458188441795,58112,523.0,3426,6661,2216,8904,13827,4704,6619,6.8,0.009530057034566957,0.06242825124364511,0.12137611836950382,36270,0.2454921422663358,1,Low
155,Westbrook,154,30,4.3,6914,365800,3685,133,0.0360922659430122,89489,4.0,104,449,401,2573,1451,475,737,3.5,0.0005785363031530228,0.015041943881978595,0.06494070002892681,5637,0.4564484654958311,0,Middle
156,Weston,157,54,5.3,10247,878400,4378,158,0.0360895386021014,219083,2.0,2,279,174,5420,470,105,503,2.8,0.00019517907680296673,0.00019517907680296673,0.027227481214013857,6672,0.8123501199040767,2,High
157,Westport,158,151,5.4,28115,1167500,12710,393,0.0309205350118017,187988,12.0,260,1312,524,14349,1708,322,1501,2.6,0.0004268184243286502,0.009247732527120755,0.04666548105993242,18404,0.7796674635948707,2,High
158,Wethersfield,159,295,11.3,26082,249300,14136,510,0.0360780984719864,83391,45.5,1028,1264,1381,8173,4931,1277,3303,2.4,0.0017444981213097155,0.03941415535618434,0.048462541216164404,19065,0.42869131917125625,0,Middle
159,Willington,160,34,5.8,5887,223700,3706,130,0.0350782514840799,74940,11.5,122,772,255,1435,1110,275,761,7.1,0.0019534567691523695,0.020723628333616444,0.13113640224222864,3836,0.3740875912408759,0,Middle
160,Wilton,161,133,7.2,18397,798700,8473,266,0.0313938392541013,187903,4.5,127,519,525,9112,944,265,1056,2.8,0.0002446050986573898,0.006903299450997445,0.028211121378485624,11902,0.7655856158628802,2,High
161,Winchester,162,78,7.3,10655,164100,6131,274,0.0446909150220192,68651,54.5,816,1866,852,1890,3075,844,1264,4.5,0.005114969497888315,0.07658376349131862,0.17512904739558893,7925,0.2384858044164038,1,Low
162,Windham,163,227,9.2,24706,155900,12441,657,0.0528092597058114,44091,479.5,2549,5287,852,2836,4748,2561,3024,6.3,0.01940824091313851,0.10317331822229418,0.2139966000161904,14021,0.20226802653163112,1,Low
163,Windsor,164,288,10.0,28760,220300,16727,685,0.0409517546481736,88986,179.5,909,1507,1618,8390,4973,1551,4024,2.9,0.006241307371349096,0.031606397774687066,0.05239916550764951,20556,0.4081533372251411,0,Middle
164,Windsor Locks,165,130,10.1,12876,191300,7507,327,0.0435593446116957,66846,44.0,368,896,866,2180,3556,748,1725,3.2,0.003417210313762038,0.02858030444237341,0.06958682820751787,9075,0.24022038567493112,1,Low
165,Wolcott,166,121,7.3,16649,249600,10001,368,0.0367963203679632,86786,14.0,289,918,1113,3315,4155,862,2259,2.8,0.000840891344825515,0.017358399903898133,0.05513844675355877,11704,0.2832365003417635,0,Middle
166,Woodbridge,167,60,6.8,8805,471400,4859,149,0.0306647458324758,142188,6.0,37,381,361,4224,783,353,710,1.5,0.0006814310051107325,0.004202157864849517,0.043270868824531517,6431,0.656818535220028,2,High
167,Woodbury,168,57,6.0,9537,353500,5577,190,0.0340684956069571,78025,11.0,161,486,549,3392,1473,317,1504,1.9,0.0011534025374855825,0.016881618957743524,0.050959421201635734,7235,0.46883206634416036,0,Middle
168,Woodstock,169,57,7.3,7862,256800,4190,171,0.0408114558472554,89531,5.5,83,347,628,2267,1182,188,1371,1.6,0.0006995675400661409,0.010557110150089036,0.0441363520732638,5636,0.40223562810503904,0,Middle
